資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20250919,USD,本行買入,29.81000,30.16000,30.14200,30.08700,30.01400,29.95300,29.88900,29.82700,29.77200,本行賣出,30.48000,30.26000,30.24600,30.19900,30.13500,30.08100,30.02500,29.97100,29.92200,
20250918,USD,本行買入,29.67500,30.02500,30.00400,29.95200,29.87900,29.81600,29.75300,29.69100,29.63500,本行賣出,30.34500,30.12500,30.10900,30.06300,29.99800,29.94800,29.89000,29.83400,29.78600,
20250917,USD,本行買入,29.64000,29.99000,29.97200,29.91500,29.84800,29.78200,29.71400,29.64600,29.60000,本行賣出,30.31000,30.09000,30.07600,30.02600,29.96800,29.91000,29.85000,29.79000,29.75000,
20250916,USD,本行買入,29.66500,30.01500,29.99700,29.93900,29.87200,29.80600,29.73600,29.66800,29.62300,本行賣出,30.33500,30.11500,30.10100,30.04900,29.99200,29.93400,29.87300,29.81200,29.77300,
20250915,USD,本行買入,29.80500,30.15500,30.13700,30.08200,30.01000,29.94100,29.86900,29.79900,29.75500,本行賣出,30.47500,30.25500,30.24100,30.19200,30.13000,30.06900,30.00500,29.94300,29.90500,
20250912,USD,本行買入,29.81500,30.16500,30.14600,30.09000,30.01700,29.95000,29.88400,29.80400,29.76300,本行賣出,30.48500,30.26500,30.25000,30.20200,30.13700,30.08000,30.02000,29.94800,29.91300,
20250911,USD,本行買入,29.90500,30.25500,30.23600,30.17900,30.10200,30.03800,29.97100,29.88800,29.84600,本行賣出,30.57500,30.35500,30.34000,30.29100,30.22200,30.16600,30.10600,30.03200,29.99600,
20250910,USD,本行買入,29.87000,30.22000,30.20100,30.13900,30.06900,30.00100,29.92900,29.86400,29.80700,本行賣出,30.54000,30.32000,30.30500,30.25000,30.18900,30.12900,30.06500,30.00900,29.95700,
20250909,USD,本行買入,29.95000,30.30000,30.28000,30.21600,30.14500,30.07900,30.00700,29.94500,29.88900,本行賣出,30.62000,30.40000,30.38400,30.32600,30.26500,30.20700,30.14300,30.08900,30.03900,
20250908,USD,本行買入,30.09500,30.44500,30.42500,30.35700,30.29100,30.21800,30.14400,30.08200,30.02300,本行賣出,30.76500,30.54500,30.52900,30.47000,30.41200,30.35000,30.28500,30.23300,30.18000,
20250905,USD,本行買入,30.16500,30.51500,30.49500,30.43500,30.35500,30.28300,30.21200,30.14300,30.08200,本行賣出,30.83500,30.61500,30.59900,30.54600,30.47500,30.41300,30.35200,30.29300,30.24000,
20250904,USD,本行買入,30.29500,30.64500,30.62500,30.56300,30.48000,30.41100,30.33900,30.26800,30.20500,本行賣出,30.96500,30.74500,30.72900,30.67500,30.60100,30.54100,30.47900,30.41900,30.36300,
20250903,USD,本行買入,30.31500,30.66500,30.64500,30.57800,30.50300,30.42800,30.35300,30.28200,30.21900,本行賣出,30.98500,30.76500,30.74900,30.68900,30.62300,30.55800,30.49300,30.43000,30.37700,
20250902,USD,本行買入,30.27500,30.62500,30.60500,30.53500,30.46400,30.39000,30.31200,30.24700,30.18400,本行賣出,30.94500,30.72500,30.70900,30.64700,30.58500,30.52000,30.45400,30.39700,30.34200,
